hospital_name,location,id_code
(주)에니멀클리닉컨설팅(출장진료전문병원),경기도 용인시 기흥구 신갈동,563000001020130004
119동물병원,대구광역시 달성군 다사읍 매곡리,348000001020160002
21세기 동물병원,전북특별자치도 전주시 덕진구 송천동1가,464100001019990001
21세기동물병원,전라남도 목포시 상동,480000001020010001
21세기동물병원,경기도 화성시 반송동,553000001020100001
21세기종합동물병원,부산광역시 북구 덕천동,332000001020020001
21세기종합동물병원,대구광역시 동구 효목동,342000001020040003
24시 강서 젠틀리동물의료센터,서울특별시 강서구 마곡동,315000001020150001
24시 건국 본 동물병원,인천광역시 미추홀구 주안동,351000001020030001
24시 고덕동물의료센터,경기도 평택시 고덕동,391000001020240002
24시 공감365동물의료센터,경기도 남양주시 진접읍 금곡리,399000001020230002
24시 굿케어동물의료센터,서울특별시 관악구 봉천동,320000001020190001
24시 글로리 동물병원,서울특별시 금천구 독산동,317000001020170001
24시 나음동물의료센터,경기도 고양시 일산동구 장항동,394000001020160004
24시 당신의 동물의료센터,경기도 수원시 장안구 천천동,374000001020200007
24시 더나은 동물메디컬 센터,경상남도 거제시 고현동,537000001020140002
24시 더블유 동물의료센터,인천광역시 서구 청라동,356000001020200003
24시 더원 동물병원,인천광역시 서구 원당동,356000001020220003
24시 더케어 동물의료센터,경기도 구리시 수택동,398000001020170003
24시 동대문 루시드 동물메디컬센터,서울특별시 동대문구 답십리동,305000001020220001
24시 딜라이트 동물의료센터,서울특별시 도봉구 창동,309000001020230001
24시 라움동물의료센터,경기도 평택시 비전동,391000001020190001
24시 라인동물의료센터,경기도 고양시 덕양구 삼송동,394000001020200002
24시 로운동물의료센터,서울특별시 양천구 목동,314000001020230004
24시 리본동물영상센터,부산광역시 동래구 명륜동,330000001020210002
24시 리본동물의료센터,부산광역시 동래구 명륜동,330000001020210003
24시 마이동물의료센터,경기도 파주시 동패동,406000001020250003
24시 명동물메디컬센터,서울특별시 구로구 개봉동,316000001020140004
24시 모두의동물병원,경기도 광명시 하안동,390000001020210002
24시 모란동물 메디컬센터,경기도 광주시 쌍령동,554000001020120001
24시 바덴동물메디컬,광주광역시 광산구 월계동,363000001020240003
24시 봉담동물의료센터,경기도 화성시 봉담읍 상리,553000001020240002
24시 블레스동물메디컬센터,경기도 용인시 기흥구 중동,563000001020190004
24시 블루밍 동물병원,광주광역시 북구 운암동,362000001020190002
24시 사람앤동물메디컬센터,경기도 용인시 수지구 성복동,564000001020180001
24시 산들산들 동물병원,서울특별시 마포구 아현동,313000001020160002
24시 서울 탑 동물병원,서울특별시 양천구 신정동,314000001020170004
24시 서울YES동물병원,경기도 용인시 수지구 죽전동,564000001020120002
24시 서초바른동물병원,서울특별시 서초구 서초동,321000001020240005
24시 성심동물메디컬센터,대전광역시 유성구 봉명동,367000001020190001
24시 송도 온 동물의료센터,인천광역시 연수구 송도동,352000001020230002
24시 송도힐 동물메디컬센터,인천광역시 연수구 송도동,352000001020150002
24시 수 동물메디컬센터,서울특별시 영등포구 양평동1가,318000001020180004
24시 수유 바른펫 동물의료센터,서울특별시 강북구 수유동,308000001020170001
24시 숨 동물병원,경기도 수원시 권선구 권선동,374000001020170008
24시 스마트동물병원(신사본원),서울특별시 강남구 신사동,322000001020170001
24시 스탠다드 동물의료센터,서울특별시 송파구 거여동,323000001020220007
24시 시유동물메디컬센터,서울특별시 용산구 이촌동,302000001020160002
24시 신도림S동물의료센터,서울특별시 구로구 신도림동,316000001020210001
24시 쓰담쓰담 동물메디컬 센터,경기도 용인시 기흥구 신갈동,563000001020180003
24시 아이동물메디컬센터,경기도 부천시 오정구 원종동,386000001020000001
24시 아프리카동물병원,경기도 안산시 단원구 초지동,393000001020070002
24시 안박동물병원,서울특별시 강서구 등촌동,315000001020130001
24시 애니동물병원,서울특별시 성북구 보문동5가,307000001020080004
24시 양주 힐 동물의료센터,경기도 양주시 옥정동,559000001020210001
24시 언제나 동물병원,광주광역시 북구 매곡동,362000001020160002
24시 에피소드 동물 메디컬 센터,대구광역시 동구 신천동,342000001020250001
24시 연희동물의료센터,인천광역시 연수구 청학동,352000001020230005
24시 온누리동물메디컬센터,경기도 안산시 단원구 고잔동,393000001020160003
24시 온동물의료센터,부산광역시 부산진구 전포동,329000001020210001
24시 올리몰스 동물메디컬센터,전북특별자치도 전주시 덕진구 송천동1가,464100001020170002
24시 와이즈 동물메디컬센터,경기도 하남시 덕풍동,404000001020210005
24시 우리 동물병원,서울특별시 노원구 상계동,310000001020180005
24시 웰니스 동물 의료센터,경기도 부천시 원미구 중동,386000001020190002
24시 위너스동물의료센터,경기도 남양주시 호평동,399000001020210003
24시 위드유 동물의료센터,경기도 시흥시 은행동,401000001020200004
24시 위드힐동물메디컬센터,경기도 남양주시 별내동,399000001020200001
24시 이오동물병원,경기도 안양시 동안구 비산동,383000001020250001
24시 이지동물의료센터,경기도 부천시 원미구 역곡동,386000001020110005
24시 인천 이음동물의료센터,인천광역시 서구 심곡동,356000001020250001
24시 인천동물병원 치료해주오,인천광역시 남동구 논현동,353000001020220001
24시 지구촌 동물메디컬 센터,서울특별시 구로구 구로동,316000001019990002
24시 창원2차동물의료원,경상남도 창원시 의창구 명서동,567000001020150010
24시 청담우리 동물병원,서울특별시 강남구 삼성동,322000001020130003
24시 청주이음동물의료센터,충청북도 청주시 흥덕구 비하동,573000001020210001
24시 케어동물의료센터,대구광역시 수성구 만촌동,346000001020250002
24시 코끼리동물병원,전북특별자치도 전주시 완산구 평화동1가,464100001020140001
24시 코끼리동물의료센터,전북특별자치도 전주시 완산구 평화동1가,464100001020210002
24시 파티마동물의료센터,대구광역시 동구 신암동,342000001020240002
24시 팔용feel동물병원,경상남도 창원시 의창구 팔용동,567000001020040001
24시 포항 이음동물의료센터,경상북도 포항시 남구 효자동,502000001020230001
24시 폴 동물병원,경기도 성남시 분당구 정자동,378000001020160003
24시 품 동물의료센터,서울특별시 동작구 상도1동,319000001020200001
24시 해든동물의료센터 민락점,경기도 의정부시 민락동,382000001020220001
24시 해든동물의료센터 의정부점,경기도 의정부시 의정부동,382000001020240001
24시 황금동물의료센터,대구광역시 수성구 황금동,346000001020250001
24시OK동물병원,서울특별시 강남구 역삼동,322000001020170010
24시SNC동물메디컬센터,서울특별시 강남구 역삼동,322000001020170006
24시김승현외과동물메디컬센터,광주광역시 남구 월산동,361000001020240001
24시노아동물메디컬센터,광주광역시 동구 대인동,359000001020210001
24시도안동물메디컬센터,대전광역시 서구 도안동,366000001020210002
24시동물병원,경기도 용인시 기흥구 구갈동,563000001020060001
24시동탄시티동물의료센터,경기도 화성시 반송동,553000001020180003
24시동탄윌동물의료센터,경기도 화성시 반송동,553000001020170002
24시루시드동물메디컬센터,서울특별시 강북구 미아동,308000001020190001
24시마음든든동물병원,경기도 안양시 만안구 석수동,383000001020170002
24시배곧스마트동물의료센터,경기도 시흥시 배곧동,401000001020170004
24시보듬동물병원,강원특별자치도 강릉시 임당동,420000001020190001
24시분당리더스동물의료원,경기도 성남시 분당구 구미동,378000001020190003
24시센트럴동물메디컬센터,서울특별시 성동구 행당동,303000001020070002
24시송도오케이동물의료센터,인천광역시 연수구 송도동,352000001020200002
24시스마일동물의료센터동물병원,경기도 이천시 진리동,407000001020160001
24시스마트동물메디컬센터,서울특별시 은평구 응암동,311000001020130001
24시아프리카동물메디컬센터,서울특별시 강서구 등촌동,315000001020040003
24시알파동물메디컬센터,대구광역시 서구 내당동,343000001020210002
24시연동물의료센터,서울특별시 강서구 화곡동,315000001020220001
24시예담동물의료센터,서울특별시 은평구 역촌동,311000001020210001
24시예스동물병원,서울특별시 서초구 반포동,321000001020110002
24시월드펫동물메디컬센터,서울특별시 양천구 신월동,314000001020220001
24시위드동물병원(정왕동동물의료센터),경기도 시흥시 정왕동,401000001020150002
24시이스턴동물의료센터,경기도 남양주시 호평동,399000001020250001
24시잠실ON동물의료센터,서울특별시 송파구 잠실동,323000001020130001
24시청주i동물병원,충청북도 청주시 청원구 율량동,573500001020150002
24시청주나음동물메디컬,충청북도 청주시 상당구 용암동,572000001020180001
24시청주다옴동물의료센터,충청북도 청주시 흥덕구 송절동,573000001020240003
24시퍼스트동물의료센터,인천광역시 미추홀구 주안동,351050001020210001
24시프라임동물병원,대구광역시 달서구 대곡동,347000001020150001
24시하나린동물의료센터,경기도 오산시 금암동,400000001020250001
24시해든동물메디컬센터,경기도 부천시 원미구 중동,386000001020160004
24시핸즈동물의료센터,경기도 화성시 오산동,553000001020180002
24아프리카동물메디컬센터,대전광역시 서구 탄방동,366000001020180001
24일산우리동물병원,,394000001020170006
25세 동물병원,경상북도 칠곡군 왜관읍 석전리,522000001020210001
25시 동물병원,부산광역시 남구 문현동,331000001020000001
25시 동물병원,경기도 성남시 중원구 은행동,378000001020180006
25시 죽곡동물병원,대구광역시 달성군 다사읍 죽곡리,348000001020170004
25시 한사랑동물병원,경기도 남양주시 화도읍 창현리,399000001019970001
25시동물병원,서울특별시 노원구 중계동,310000001019980001
25시동물의료센터,서울특별시 송파구 삼전동,323000001020020007
25시종합동물병원,대구광역시 달서구 송현동,347000001020020003
365 마음동물병원,서울특별시 구로구 궁동,316000001020150002
365동물병원,서울특별시 도봉구 방학동,309000001020130001
365동물병원 분당점,경기도 성남시 분당구 구미동,378000001020170003
365동물병원위례점,경기도 성남시 수정구 창곡동,378000001020200001
365동판교동물병원,경기도 성남시 분당구 백현동,378000001020190002
4u동물메디컬센타,경기도 안산시 단원구 고잔동,393000001020130007
9월의 소원 동물병원,인천광역시 남동구 구월동,353000001020230001
ABC 동물의료센터,경기도 과천시 별양동,397000001020240002
ABC동물병원,부산광역시 수영구 광안동,338000001020120001
ACE동물병원,인천광역시 연수구 송도동,352000001020160007
AK동물병원,강원특별자치도 춘천시 중앙로3가,418000001020120001
AP동물병원,경기도 용인시 수지구 동천동,564000001020120001
AVC 동물메디컬센터,인천광역시 계양구 계산동,355000001020150001
